bibnum|title|author|year|periodical|parent_title|citation|keyword|project|link
012|The binding protein as a modulator of juvenile hormone stability and uptake|Nowock, J.; B.D. Hammock; L.I. Gilbert|1976||The Juvenile Hormones|Nowock & B.D. Hammock & L.I. Gilbert. (1976). In: The Juvenile Hormones (Plenum Press, New York): 354–373||Insect Biology|http://ucanr.org/sites/hammocklab/files/130844.pdf
013|"Mechanisms of resistance to the juvenoid methoprene in the house fly Musca domestica L
"|Hammock, B. D.; S.M. Mumby; P.W. Lee|1977|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Hammock, S.M. Mumby, P.W. Lee. (1977). Pestoc Biochem Physiol 7:261–272||Insect Biology|http://ucanr.org/sites/hammocklab/files/130849.pdf
014|Selective inhibition of JH esterases from cockroach hemolymph|Hammock, B. D.; T.C. Sparks; S.M. Mumby|1977|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Hammock, T.C. Sparks, S.M. Mumby. (1977). Pestoc Biochem Physiol 7:517–530||Esterase and Amidase|http://ucanr.org/sites/hammocklab/files/125842.pdf
014|Selective inhibition of JH esterases from cockroach hemolymph|Hammock, B. D.; T.C. Sparks; S.M. Mumby|1977|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Hammock, T.C. Sparks, S.M. Mumby. (1977). Pestoc Biochem Physiol 7:517–530||Insect Biology|http://ucanr.org/sites/hammocklab/files/125842.pdf
015|"Acute toxicity and developmental effects of analogues of ethyl α-(4-chlorophenoxy)-α-methylpropionate on two insects, Oncopeltus fasciatus and Tenebrio molitor
"|Hammock, B. D.; E. Kuwano; A. Ketterman; R.H. Scheffrahn; S.N. Thompson; D. Sallume|1978|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Hammock, E. Kuwano. (1978). J. Agric. Food Chem. 26:166–170||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125123.pdf
015|"Acute toxicity and developmental effects of analogues of ethyl α-(4-chlorophenoxy)-α-methylpropionate on two insects, Oncopeltus fasciatus and Tenebrio molitor
"|Hammock, B. D.; E. Kuwano; A. Ketterman; R.H. Scheffrahn; S.N. Thompson; D. Sallume|1978|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Hammock, E. Kuwano. (1978). J. Agric. Food Chem. 26:166–170||Insect Biology|http://ucanr.org/sites/hammocklab/files/125123.pdf
016|A rapid assay for insect juvenile hormone esterase activity|Hammock, B. D.; T.C. Sparks|1977|Anal. Biochem. (Analytical biochemistry)||Hammock, T.C. Sparks. (1977). Anal. Biochem. 82:573–579||Insect Biology|http://ucanr.org/sites/hammocklab/files/130861.pdf
017|Inhibition of epoxidation of methyl farnesoate to juvenile hormone III by cockroach corpus allatum homogenates|Hammock, B. D.; S.M. Mumby|1978|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Hammock, S.M. Mumby. (1978). Pestoc Biochem Physiol 9:39–47||Insect Biology|http://ucanr.org/sites/hammocklab/files/130865.pdf
018|Development of an S-bioallethrin specific antibody|Wing, K. D.; Hammock, B. D.; Wustner, D. A.|1978|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Wing, Hammock, Wustner. (1978). J. Agric. Food Chem. 26:1328–1333|Allethrin/analogs & derivatives/immunology; Animals; Antibody Formation; Antibody Specificity; Binding Sites, Antibody; Cattle; Immunodiffusion; Pesticide Residues; Rabbits|Immunoassay|http://ucanr.org/sites/hammocklab/files/126294.pdf
019|"Haemolymph juvenile hormone esterase activity in synchronous last instar larvae of the cabbage looper, Trichoplusia ni
"|Sparks, T. C.; W.S. Willis; H.H. Shorey; B.D. Hammock|1979|J. Insect Physiol. (Journal of insect physiology)||Sparks, W.S. Willis. (1979). J. Insect Physiol. 25:125–132||Insect Biology|http://ucanr.org/sites/hammocklab/files/130876.pdf
020|"Chromatographic fractionation of aggregation and sex pheromones of Nippostrongylus brasiliensis (Nematoda)
"|Bone, L. W.; L.K. Gaston; B.D. Hammock; H.H. Shorey|1979|J. Exp. Zool. (The Journal of experimental zoology)||Bone, L.K. Gaston. (1979). J. Exp. Zool. 208:311–318||Insect Biology|http://ucanr.org/sites/hammocklab/files/130884.pdf
021|A partition assay for epoxide hydrases acting on insect juvenile hormone and an epoxide-containing juvenoid|Mumby, S. M.; Hammock, B. D.|1979|Anal. Biochem. (Analytical biochemistry)||Mumby, Hammock. (1979). Anal. Biochem. 92:16–21|Animals; Epoxide Hydrolases/analysis; Insect Hormones; Insects; Juvenile Hormones; Solubility; Solvents|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125143.pdf
021|A partition assay for epoxide hydrases acting on insect juvenile hormone and an epoxide-containing juvenoid|Mumby, S. M.; Hammock, B. D.|1979|Anal. Biochem. (Analytical biochemistry)||Mumby, Hammock. (1979). Anal. Biochem. 92:16–21|Animals; Epoxide Hydrolases/analysis; Insect Hormones; Insects; Juvenile Hormones; Solubility; Solvents|Insect Biology|http://ucanr.org/sites/hammocklab/files/125143.pdf
022|"Synthesis and bioassay of carbamate inhibitors of the juvenile hormone hydrolyzing esterases from the housefly, Musca domestica
"|Mumby, S. M.; B.D. Hammock; T.C. Sparks; K. Ota|1979|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Mumby, B.D. Hammock. (1979). J. Agric. Food Chem. 27:763–765||Esterase and Amidase|http://ucanr.org/sites/hammocklab/files/125854.pdf
022|"Synthesis and bioassay of carbamate inhibitors of the juvenile hormone hydrolyzing esterases from the housefly, Musca domestica
"|Mumby, S. M.; B.D. Hammock; T.C. Sparks; K. Ota|1979|J. Agric. Food Chem. (Journal of agricultural and food chemistry)||Mumby, B.D. Hammock. (1979). J. Agric. Food Chem. 27:763–765||Insect Biology|http://ucanr.org/sites/hammocklab/files/125854.pdf
023|The possible role of carnitine in the selective toxicity of the miticide cycloprate|Quistad, G. B.; L.E. Staiger; D.A. Schooley; T.C. Sparks; B.D. Hammock|1979|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Quistad, L.E. Staiger. (1979). Pestoc Biochem Physiol 11:159–165||Insect Biology|http://ucanr.org/sites/hammocklab/files/130901.pdf
024|Substrate selectivity and stereochemistry of enzymatic epoxide hydration in the soluble fraction of mouse liver|Mumby, S. M.; B.D. Hammock|1979|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Mumby, B.D. Hammock. (1979). Pestoc Biochem Physiol 11:275–284||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125154.pdf
025|"Effects of the anti hormone-hormone mimic ETB on the induction of insect juvenile hormone esterase in Trichoplusia ni
"|Sparks, T. C.; Wing, K. D.; Hammock, B. D.|1979|Life Sci. (Life sciences)||Sparks, Wing, Hammock. (1979). Life Sci. 25:445–450|Animals; Dose-Response Relationship, Drug; Enzyme Induction/drug effects; Esterases/biosynthesis; Hydroxybenzoates/administration & dosage/pharmacology; Insects; Juvenile Hormones/antagonists & inhibitors/metabolism; Receptors, Cell Surface/drug effects|Insect Biology|http://ucanr.org/sites/hammocklab/files/130909.pdf
026|"Hydration of cis- and trans-epoxymethyl stearates by the cytosolic epoxide hydrase of mouse liver
"|Gill, S. S.; Hammock, B. D.|1979|Biochem. Biophys. Res. Commun. (Biochemical and biophysical research communications)||Gill, Hammock. (1979). Biochem. Biophys. Res. Commun. 89:965–971|Animals; Cytosol/enzymology; Epoxide Hydrolases/metabolism; Epoxy Compounds; Isomerism; Liver/enzymology; Male; Mice; Stearates; Stearic Acids; Subcellular Fractions/enzymology; Substrate Specificity|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125162.pdf
027|"A comparison of the induced and naturally occurring juvenile hormone esterases from last instar larvae of Trichoplusia ni
"|Sparks, T. C.; B.D. Hammock|1979|Insect Biochem. (Insect biochemistry)||Sparks, B.D. Hammock. (1979). Insect Biochem. 9:411–421||Insect Biology|http://ucanr.org/sites/hammocklab/files/130916.pdf
028|Stability of epoxide-containing juvenoids to dilute aqueous acid|Mumby, S. M.; B.D. Hammock|1979|J Agric Food Chem (Journal of agricultural and food chemistry)||Mumby, B.D. Hammock. (1979). J Agric Food Chem 27:1223–1228||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125170.pdf
028|Stability of epoxide-containing juvenoids to dilute aqueous acid|Mumby, S. M.; B.D. Hammock|1979|J Agric Food Chem (Journal of agricultural and food chemistry)||Mumby, B.D. Hammock. (1979). J Agric Food Chem 27:1223–1228||Insect Biology|http://ucanr.org/sites/hammocklab/files/125170.pdf
029|"Induction and regulation of juvenile hormone esterases during the last larval instar of the cabbage looper, Trichoplusia ni
"|Sparks, T. C.; B.D. Hammock|1979|J. Insect Physiol. (Journal of insect physiology)||Sparks, B.D. Hammock. (1979). J. Insect Physiol. 25:551–560||Insect Biology|http://ucanr.org/sites/hammocklab/files/130924.pdf
030|Stereoselectivity of a radioimmunoassay for the insecticide S-bioallethrin|Wing, K. D.; Hammock, B. D.|1979|Experientia (Experientia)||Wing, Hammock. (1979). Experientia 35:1619–1620|Binding, Competitive; Insecticides; Isomerism; Radioimmunoassay/methods; Structure-Activity Relationship|Immunoassay|http://ucanr.org/sites/hammocklab/files/126337.pdf
031|Comparison of epoxide hydrases in the soluble and microsomal fractions of mammalian liver|Hammock, B. D.; S.S. Gill; S.M. Mumby; K. Ota|1980||Molecular Basis of Environmental Toxicity|Hammock & S.S. Gill. (1980). In: Molecular Basis of Environmental Toxicity (Ann Arbor Science Publishers, Ann Arbor, Michigan): 229–272||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125175.pdf
032|Distribution and properties of a mammalian soluble epoxide hydrase|Gill, S. S.; Hammock, B. D.|1980|Biochem. Pharmacol. (Biochemical pharmacology)||Gill, Hammock. (1980). Biochem. Pharmacol. 29:389–395|Aging; Animals; Chromatography, Gel; Epoxide Hydrolases/metabolism; Kinetics; Liver/enzymology; Male; Mice; Molecular Weight; Rabbits; Rats; Sex Factors; Solubility; Species Specificity; Subcellular Fractions/enzymology|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125177.pdf
033|Cytosolic and microsomal epoxide hydrolases: differential properties in mammalian liver|Ota, K.; Hammock, B. D.|1980|Science (Science)||Ota, Hammock. (1980). Science 207:1479–1481|Allyl Compounds; Animals; Benzene; Cytosol/enzymology; Epoxide Hydrolases/metabolism; Guinea Pigs; Hydrogen-Ion Concentration; Liver/enzymology/ultrastructure; Mice; Microsomes, Liver/enzymology; Rats; Styrenes; Substrate Specificity|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125181.pdf
034|Extramicrosomal epoxide hydration|Hammock, B. D.; M. El-Tantawy; S.S. Gill; L. Hasegawa; C.A. Mullin; K. Ota|1980||Microsomes, Drug Oxidations, and Chemical Carcinogenesis|Hammock & M. El-Tantawy. (1980). In: Microsomes, Drug Oxidations, and Chemical Carcinogenesis (Academic Press, New York): 655–658||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125183.pdf
035|The effect of hepatic microsomal and cytosolic subcellular fractions on the mutagenic activity of epoxide-containing compounds in the Salmonella assay|El-Tantawy, M. A.; Hammock, B. D.|1980|Mutat. Res. (Mutation research)||El-Tantawy, Hammock. (1980). Mutat. Res. 79:59–71|Animals; Biotransformation; Cytosol/enzymology; Epoxide Hydrolases/metabolism; Epoxy Compounds/pharmacology; Ethers, Cyclic/pharmacology; Guinea Pigs; Liver/enzymology; Mice; Microsomes, Liver/enzymology; Mutagenicity Tests; Mutagens; Rats; Salmonella typhimurium/genetics|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125187.pdf
036|A rapid radiometric assay for mammalian cytosolic epoxide hydrolase|Mullin, C. A.; Hammock, B. D.|1980|Anal. Biochem. (Analytical biochemistry)||Mullin, Hammock. (1980). Anal. Biochem. 106:476–485|Animals; Cytosol/enzymology; Epoxide Hydrolases/analysis/antagonists & inhibitors; Glutathione/pharmacology; Glutathione Transferase/metabolism; Guinea Pigs; Isotope Labeling; Kinetics; Liver/enzymology; Male; Mice; Microsomes, Liver/enzymology; Rats; Styrenes/metabolism|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125188.pdf
037|Mutagenicity of psoralen epoxides|Ivie, G. W.; Macgregor, J. T.; Hammock, B. D.|1980|Mutat. Res. (Mutation research)||Ivie, Macgregor, Hammock. (1980). Mutat. Res. 79:73–77|Animals; Epoxy Compounds/pharmacology; Mice; Mutagenicity Tests; Mutagens; Psoralens/pharmacology; Rats; Salmonella typhimurium/genetics|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125193.pdf
038|Potential of immunochemical technology for pesticide analysis|Hammock, B. D.; R.O. Mumma|1980||Pesticide Analytical Methodology|Hammock & R.O. Mumma. (1980). In: Pesticide Analytical Methodology (ACS Publications, Washington, DC): 321–352||Immunoassay|http://ucanr.org/sites/hammocklab/files/126369.pdf
039|Hydration of an 18O epoxide by a cytosolic epoxide hydrolase from mouse liver|Hammock, B. D.; Ratcliff, M.; Schooley, D. A.|1980|Life Sci. (Life sciences)||Hammock, Ratcliff, Schooley. (1980). Life Sci. 27:1635–1641|Animals; Cytosol/enzymology; Epoxide Hydrolases/metabolism; Epoxy Compounds/metabolism; Ethers, Cyclic/metabolism; Liver/enzymology; Male; Mice; Oxygen Isotopes/diagnostic use|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125193.pdf
039|Hydration of an 18O epoxide by a cytosolic epoxide hydrolase from mouse liver|Hammock, B. D.; Ratcliff, M.; Schooley, D. A.|1980|Life Sci. (Life sciences)||Hammock, Ratcliff, Schooley. (1980). Life Sci. 27:1635–1641|Animals; Cytosol/enzymology; Epoxide Hydrolases/metabolism; Epoxy Compounds/metabolism; Ethers, Cyclic/metabolism; Liver/enzymology; Male; Mice; Oxygen Isotopes/diagnostic use|Insect Biology|http://ucanr.org/sites/hammocklab/files/125193.pdf
040|"Partial purification of the aggregation pheromone nippolure from female Nippostrongylus brasiliensis (Nematoda)
"|Bone, L. W.; B.D. Hammock; L.K. Gaston; S.K. Reed; H.H. Shorey|1980|J. Chem. Ecol. (Journal of chemical ecology)||Bone, B.D. Hammock. (1980). J. Chem. Ecol. 6:297–308||Insect Biology|http://ucanr.org/sites/hammocklab/files/130967.pdf
041|"Regulation of juvenile hormone esterase in the cabbage looper, Trichoplusia ni
"|Hammock, B. D.; D. Jones; G. Jones; M. Rudnicka; T.C. Sparks; K.D. Wing|1981||Regulation of Insect Development and Behavior|Hammock & D. Jones. (1981). In: Regulation of Insect Development and Behavior (Wroclaw Technical University Press, Wroclaw, Poland): 219–235||Insect Biology|http://ucanr.org/sites/hammocklab/files/130973.pdf
042|Metabolism and environmental fate of juvenoids|Hammock, B. D.|1981||Regulation of Insect Development and Behavior|Hammock. (1981). In: Regulation of Insect Development and Behavior (Wroclaw Technical University Press, Wroclaw, Poland): 841–852||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125211.pdf
042|Metabolism and environmental fate of juvenoids|Hammock, B. D.|1981||Regulation of Insect Development and Behavior|Hammock. (1981). In: Regulation of Insect Development and Behavior (Wroclaw Technical University Press, Wroclaw, Poland): 841–852||Insect Biology|http://ucanr.org/sites/hammocklab/files/125211.pdf
043|Epoxide hydrolase activity in the mitochondrial fraction of mouse liver|Gill, S. S.; Hammock, B. D.|1981|Nature (Nature)||Gill, Hammock. (1981). Nature 291:167–168|Animals; Benzopyrenes/metabolism; Epoxide Hydrolases/metabolism/pharmacology; Indicators and Reagents/metabolism; Mice; Mitochondria, Liver/enzymology; Styrenes/metabolism|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125211.pdf
044|"Comparative inhibition of the juvenile hormone esterases from Trichoplusia ni, Tenebrio molitor, and Musca domestica
"|Sparks, T. C.; B.D. Hammock|1980|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Sparks, B.D. Hammock. (1980). Pestoc Biochem Physiol 14:290–302||Esterase and Amidase|http://ucanr.org/sites/hammocklab/files/125873.pdf
044|"Comparative inhibition of the juvenile hormone esterases from Trichoplusia ni, Tenebrio molitor, and Musca domestica
"|Sparks, T. C.; B.D. Hammock|1980|Pestoc Biochem Physiol (Pesticide biochemistry and physiology)||Sparks, B.D. Hammock. (1980). Pestoc Biochem Physiol 14:290–302||Insect Biology|http://ucanr.org/sites/hammocklab/files/125873.pdf
045|"The source and action of head factors regulating juvenile hormone esterase in larvae of the cabbage looper, Trichoplusia ni
"|Jones, G.; K.D. Wing; D. Jones; B.D. Hammock|1981|J. Insect Physiol. (Journal of insect physiology)||Jones, K.D. Wing. (1981). J. Insect Physiol. 27:85–91||Insect Biology|http://ucanr.org/sites/hammocklab/files/130983.pdf
046|Metabolism and mode of action of juvenile hormone, juvenoids, and other insect growth regulators|Hammock, B. D.; G.B. Quistad|1981||Progress in Pesticide Biochemistry|Hammock & G.B. Quistad. (1981). In: Progress in Pesticide Biochemistry (John Wiley & Sons, Ltd., Sussex, England): 1–83||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125230.pdf
046|Metabolism and mode of action of juvenile hormone, juvenoids, and other insect growth regulators|Hammock, B. D.; G.B. Quistad|1981||Progress in Pesticide Biochemistry|Hammock & G.B. Quistad. (1981). In: Progress in Pesticide Biochemistry (John Wiley & Sons, Ltd., Sussex, England): 1–83||Esterase and Amidase|http://ucanr.org/sites/hammocklab/files/125230.pdf
046|Metabolism and mode of action of juvenile hormone, juvenoids, and other insect growth regulators|Hammock, B. D.; G.B. Quistad|1981||Progress in Pesticide Biochemistry|Hammock & G.B. Quistad. (1981). In: Progress in Pesticide Biochemistry (John Wiley & Sons, Ltd., Sussex, England): 1–83||Insect Biology|http://ucanr.org/sites/hammocklab/files/125230.pdf
047|Cytosolic and microsomal epoxide hydrolases are immunologically distinguishable from each other in the rat and mouse|Guenthner, T. M.; B.D. Hammock; U. Vogel; F. Oesch|1981|J Biol Chem (The Journal of biological chemistry)||Guenthner, B.D. Hammock. (1981). J Biol Chem 256:3163–3166||Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125233.pdf
048|Epoxide hydrolase activity in the mitochondrial and submitochondrial fractions of mouse liver|Gill, S. S.; Hammock, B. D.|1981|Biochem. Pharmacol. (Biochemical pharmacology)||Gill, Hammock. (1981). Biochem. Pharmacol. 30:2111–2120|Animals; Cytosol/enzymology; Epoxide Hydrolases/metabolism; Liver/enzymology; Male; Mice; Mitochondria, Liver/enzymology; Molecular Weight; Rats; Rats, Inbred Strains; Subcellular Fractions/enzymology; Substrate Specificity|Epoxide Hydrolase|http://ucanr.org/sites/hammocklab/files/125237.pdf
